Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,20:19:25.989,test,pistol,1.042000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
2,20:19:27.140,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
3,20:19:27.740,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
4,20:19:28.608,test,pistol,0.334000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
5,20:19:29.469,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
6,20:19:30.119,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
7,20:19:31.126,test,pistol,0.363000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
8,20:19:32.876,test,pistol,0.722000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
9,20:19:33.383,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
10,20:19:34.233,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
11,20:19:35.049,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
12,20:19:36.049,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
13,20:19:36.826,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
14,20:19:37.660,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
15,20:19:38.654,test,pistol,0.282000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
16,20:19:39.221,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
17,20:19:41.208,test,pistol,1.341000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
18,20:19:43.246,test,pistol,0.780000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
19,20:19:46.503,test,pistol,1.973000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
20,20:19:49.936,test,pistol,2.940000s,5,1,0.200000,1000.000000,10000.000000,0.100000,0,0
21,20:19:54.624,test,pistol,4.166000s,6,1,0.166667,1000.000000,12000.000000,0.083333,0,0
22,20:19:56.586,test,pistol,0.773000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
23,20:19:57.383,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
24,20:19:58.432,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
25,20:19:59.260,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
26,20:20:01.141,test,pistol,0.921000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
27,20:20:04.005,test,pistol,1.808000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
28,20:20:06.156,test,pistol,1.731000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
29,20:20:08.094,test,pistol,0.983000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
30,20:20:13.153,test,pistol,3.416000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0,0
31,20:20:14.339,test,pistol,0.442000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
32,20:20:15.641,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
33,20:20:16.397,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
34,20:20:21.624,test,pistol,4.079000s,5,1,0.200000,1000.000000,10000.000000,0.100000,0,0
35,20:20:23.222,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,72,35,35000.0,144000.0,

Kills:,35
Deaths:,0
Fight Time:,28.099001
Time Remaining:,0.0
Avg TTK:,1.904756
Damage Done:,35000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,35
Miss Count:,37
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,5
Distance Traveled:,35781.988281
MBS Points:,186.046692
Score:,536.046692
Scenario:,VT AngleStrafe Intermediate
Hash:,0b50642a2f7f3efc2d39d73afc9c01db
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,20:19:24.162
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,188.46225
Resolution Scale:,100.0
